team,odds,week
Panthers,-400,3
Texans,310,3
Bengals,160,3
Steelers,-190,3
Colts,205,3
Titans,-250,3
Saints,130,3
Patriots,-150,3
Bears,260,3
Browns,-330,3
Cardinals,-360,3
Jaguars,285,3
Football Team,300,3
Bills,-380,3
Falcons,140,3
Giants,-160,3
Ravens,-420,3
Lions,320,3
Chargers,250,3
Chiefs,-320,3
Dolphins,175,3
Raiders,-210,3
Jets,450,3
Broncos,-650,3
Seahawks,-120,3
Vikings,100,3
Buccaneers,-125,3
Rams,105,3
Packers,155,3
49ers,-180,3
Eagles,160,3
Cowboys,-190,3
