team,odds,week
Steelers,145,14
Vikings,-170,14
Seahawks,-350,14
Texans,280,14
Falcons,130,14
Panthers,-150,14
Ravens,115,14
Browns,-135,14
Saints,-230,14
Jets,190,14
Cowboys,-200,14
Football Team,170,14
Jaguars,350,14
Titans,-450,14
Raiders,350,14
Chiefs,-450,14
Giants,400,14
Chargers,-550,14
Lions,285,14
Broncos,-360,14
Bills,145,14
Buccaneers,-170,14
49ers,-105,14
Bengals,-115,14
Bears,475,14
Packers,-700,14
Rams,130,14
Cardinals,-150,14
