team,odds,week
Chiefs,-200,15
Chargers,170,15
Raiders,220,15
Browns,-270,15
Patriots,115,15
Colts,-135,15
Panthers,400,15
Bills,-550,15
Titans,-130,15
Steelers,110,15
Cardinals,-800,15
Lions,550,15
Football Team,190,15
Eagles,-230,15
Cowboys,-550,15
Giants,400,15
Texans,140,15
Jaguars,-160,15
Jets,310,15
Dolphins,-400,15
Bengals,105,15
Broncos,-125,15
Falcons,330,15
49ers,-430,15
Seahawks,235,15
Rams,-290,15
Packers,-230,15
Ravens,190,15
Saints,400,15
Buccaneers,-550,15
Vikings,-190,15
Bears,160,15
